"asp_north","Elev.skewn","Int.skewne","Int.P70","All_mode","Return.3.c","Elev.IQ","Elev.P40","Int.P40","Total.firs","elevation","center.X","center.Y"
0.625899735791279,0.5831,1.0221,20,289,0,4.6501,5.7707,7,740,855.182983398438,442010,4691990
0.226281703528663,0.1435,0.9109,28,514,0,2.8632,4.9796,14,876,855.263977050781,442030,4691990
0.118641681137442,-0.1458,1.7561,12.9,440,0,4.1945,8.4384,3,660,855.986999511719,442050,4691990
0.216879962071177,0.5443,0.7247,29,353,0,5.3078,6.1756,13,555,856.523986816406,442070,4691990
0.324438131877368,-0.5624,1.349,22.8,356,0,3.1504,10.2999,6,526,856.788024902344,442090,4691990
0.324438131877368,0.4683,1.2022,16,271,1,5.5603,6.2664,5,477,856.788024902344,442110,4691990
0.534574075062381,-0.0165,0.9945,17,254,0,7.1239,9.5209,6,459,858.327026367188,442130,4691990
0.891385111840294,-0.2082,1.2033,15.6,100,1,6.4332,8.2897,5,434,858.492004394531,442150,4691990
0.886660540438804,-0.2477,1.9971,8,94,1,6.3237,8.7324,3,488,859.02197265625,442170,4691990
0.406558500643226,-0.2654,2.0421,9,88,0,5.1788,9.8638,3,470,859.513000488281,442190,4691990
0.406558500643226,0.4113,1.7103,9,178,0,6.2683,10.0419,3,505,859.513000488281,442210,4691990
-0.0319998868694752,0.2222,1.5757,12,258,1,6.0763,6.6605,4,505,860.10498046875,442230,4691990
-0.0774803328282653,1.4013,1.5727,9,74,1,2.4455,4.2276,3,657,860.424987792969,442250,4691990
-0.0202872381616189,-0.09,0.1152,15.4,3,0,0.5822,4.3835,7,731,860.580017089844,442270,4691990
-0.294389082499642,-0.4112,0.079,42,140,0,1.6428,5.5518,23.6,581,860.653015136719,442290,4691990
-0.294389082499642,1.3835,0.3443,17.9,6,0,0.1607,3.1617,4,498,860.653015136719,442310,4691990
-0.416220781496944,-0.0274,1.6117,11,182,0,7.2792,9.3358,4,459,860.380004882812,442330,4691990
-0.147044814437237,0.1638,0.9242,23,127,0,5.6788,8.8056,8,492,859.823974609375,442350,4691990
0.520468430508193,0.9603,0.8818,22,89,0,2.4489,5.1691,7.2,510,859.802978515625,442370,4691990
0.47798786588907,0.0857,1.2434,15,227,0,4.5428,8.5238,5,527,861.010009765625,442390,4691990
0.47798786588907,-0.1098,1.7159,11,514,0,5.5356,10.7246,3,710,861.010009765625,442410,4691990
0.399993763930528,0.7363,1.5056,11.5,186,0,3.1036,7.2717,3,806,861.195007324219,442430,4691990
0.354097325674042,-0.3301,1.1423,16,78,0,4.8139,9.6871,5,744,862.0419921875,442450,4691990
0.0482759260601981,-0.0162,1.2014,11,190,0,10.3046,11.1968,4,546,862.452026367188,442470,4691990
0.216161258912578,-0.4769,1.479,11,306,0,6.5773,14.7542,3,514,862.206970214844,442490,4691990
0.216161258912578,-0.4908,1.6493,12,56,0,8.8149,11.1786,4,486,862.206970214844,442510,4691990
-0.567341595565325,1.5362,1.9601,7.4,64,0,2.3615,5.9685,3,369,864.331970214844,442530,4691990
-1.33271274223423,-0.274,1.7338,5,69,0,7.2441,8.5657,2,648,863.005981445312,442550,4691990
-1.36414731388192,NA,NA,NA,0,0,NA,NA,NA,538,861.807006835938,442570,4691990
-0.589813926507582,0.3859,1.2302,15.1,63,0,4.1807,4.8969,4,352,862.549987792969,442590,4691990
-0.589813926507582,NA,NA,NA,0,0,NA,NA,NA,399,862.549987792969,442610,4691990
-0.260318515882339,-0.4089,0.5774,5.2,2,0,0.0796,12.2834,2,459,863.4990234375,442630,4691990
-0.266895678858495,-1.0489,1.7727,7,117,0,4.4987,16.7887,3,606,864.257019042969,442650,4691990
-0.341581977093511,0.0028,1.3571,11,232,0,3.4907,11.196,4,474,865.091003417969,442670,4691990
-0.0796059001247532,0.2053,1.6972,9,195,0,4.4904,7.2771,3,669,866.078002929688,442690,4691990
-0.0796059001247532,0.2254,1.7402,8,284,0,3.4923,6.9438,3,663,866.078002929688,442710,4691990
0.358585072477481,0.6748,1.7652,9,235,0,3.4781,6.083,3,488,867.651000976562,442730,4691990
